Index Value,Net Change,High,Low,Date,Avkastning OMXS#=
2036.97,21.16,2036.97,2017.55,2021-02-19,
2031.04,-5.94,2034.24,2016.79,2021-02-22,-0.0029111867135991343
2016.83,-14.2,2036.86,1993.28,2021-02-23,-0.006996415629431207
2037.25,20.42,2039.39,2011.88,2021-02-24,0.010124799809602125
2038.93,1.67,2053.54,2035.96,2021-02-25,0.0008246410602528176
2009.9,-29.02,2030.12,2000.62,2021-02-26,-0.014237860054047924
2054.67,44.76,2054.77,2029.74,2021-03-01,0.02227474003681773
2067.1,12.43,2074.84,2049.96,2021-03-02,0.006049633274443078
2073.78,6.68,2082.15,2057.16,2021-03-03,0.0032315804750617794
2065.15,-8.63,2074.29,2054.7,2021-03-04,-0.00416148289596785
2048.57,-16.59,2068.61,2042.24,2021-03-05,-0.008028472508050277
2103.1,54.54,2106.43,2056.67,2021-03-08,0.026618568074315174
2124.85,21.75,2125.11,2098.63,2021-03-09,0.010341876277875528
2134.46,9.62,2138.06,2113.5,2021-03-10,0.004522672188625121
2165.66,31.2,2167.1,2140.15,2021-03-11,0.014617280248868436
2168.96,3.3,2168.96,2152.38,2021-03-12,0.0015237848969829049
2161.83,-7.13,2188.03,2158.7,2021-03-15,-0.003287289760991463
2180.14,18.31,2184.46,2172.32,2021-03-16,0.008469676153999073
2172.86,-7.28,2179.84,2166.81,2021-03-17,-0.0033392350949937866
2179.99,7.13,2187.32,2170.01,2021-03-18,0.00328138950507606
2169.18,-10.8,2181.62,2158.72,2021-03-19,-0.004958738342836444
2174.63,5.45,2178.75,2150.99,2021-03-22,0.0025124701500107705
2168.12,-6.51,2174.68,2150.51,2021-03-23,-0.002993612706529536
2184.6,16.48,2185.68,2153.36,2021-03-24,0.007601055292142611
2173.24,-11.36,2184.22,2152.5,2021-03-25,-0.005200036619976256
2198.8,25.55,2198.8,2177.24,2021-03-26,0.011761241280300538
2182.21,-16.58,2200.4,2180.29,2021-03-29,-0.007545024558850311
2205.41,23.19,2205.48,2185.33,2021-03-30,0.010631424106753995
2192.86,-12.55,2201.46,2188.73,2021-03-31,-0.0056905518701736435
2202.61,9.75,2207.68,2190.04,2021-04-01,0.004446248278503928
2230.25,27.64,2230.27,2216.57,2021-04-06,0.012548748984159586
2229.56,-0.69,2232.81,2221.31,2021-04-07,-0.00030938235623811927
2240.4,10.84,2247.66,2236.14,2021-04-08,0.004861945854787608
2250.4,10.0,2250.4,2236.81,2021-04-09,0.004463488662738824
2235.73,0.0,0.0,0.0,2021-04-12,-0.0065188410949165165
2247.21,11.47,2250.25,2231.05,2021-04-13,0.005134788189987249
2228.16,-19.05,2246.04,2223.52,2021-04-14,-0.008477178367842897
2242.98,14.83,2246.04,2232.24,2021-04-15,0.006651227919000524
2280.5,37.52,2280.5,2238.15,2021-04-16,0.01672774612346073
2257.6,-22.9,2284.84,2256.35,2021-04-19,-0.010041657531243198
2204.81,-52.79,2261.53,2197.46,2021-04-20,-0.023383238837703768
2228.29,23.48,2229.66,2210.67,2021-04-21,0.010649443716238549
2232.42,4.13,2241.35,2222.42,2021-04-22,0.0018534391843072484
2240.95,8.53,2241.03,2220.72,2021-04-23,0.0038209655889123173
2244.36,3.41,2247.68,2234.58,2021-04-26,0.0015216760748790747
2262.84,18.48,2262.84,2237.56,2021-04-27,0.008233973159386121
2239.25,-23.59,2266.22,2223.17,2021-04-28,-0.010424952714288338
2232.84,-6.41,2257.41,2230.83,2021-04-29,-0.0028625655911577175
2217.02,-15.81,2243.12,2217.02,2021-04-30,-0.007085147166836947
2231.59,14.57,2238.41,2211.73,2021-05-03,0.006571884782275328
2194.58,-37.01,2239.69,2191.48,2021-05-04,-0.01658458767067439
2255.49,60.91,2255.53,2213.72,2021-05-05,0.027754741226111435
2246.61,-8.88,2256.8,2227.35,2021-05-06,-0.003937060239681656
2260.13,13.52,2269.44,2247.44,2021-05-07,0.006017955942508868
