DATUM,PRIS,SUBSTANSVÄRDE,BERÄKNAT_SUBSTANSVÄRDE,DISCOUNT/PREMIUM
2021-02-22,198.4,153.0,152.53,-0.2311995967741935
2021-02-23,192.1,153.0,151.99,-0.2087975013014054
2021-02-24,193.4,153.0,152.7,-0.2104446742502586
2021-02-25,194.9,153.0,151.8,-0.2211390456644432
2021-02-26,192.3,153.0,150.23,-0.2187727509100365
2021-03-01,198.5,153.0,152.72,-0.2306297229219143
2021-03-02,200.8,153.0,154.04,-0.2328685258964144
2021-03-03,200.6,153.0,154.91,-0.2277666999002991
2021-03-04,201.8,153.0,154.65,-0.2336471754212091
2021-03-05,202.0,153.0,154.0,-0.2376237623762376
2021-03-08,207.4,153.0,156.43,-0.2457569913211186
2021-03-09,209.8,153.0,158.83,-0.2429456625357483
2021-03-10,213.8,153.0,159.8,-0.2525724976613657
2021-03-11,217.4,153.0,159.72,-0.2653173873045078
2021-03-12,217.0,153.0,159.13,-0.2666820276497696
2021-03-15,216.4,153.0,158.97,-0.2653881700554529
2021-03-16,222.6,153.0,159.9,-0.2816711590296495
2021-03-17,220.4,153.0,158.64,-0.2802177858439202
2021-03-18,218.8,153.0,158.61,-0.2750914076782449
2021-03-19,216.2,153.0,159.08,-0.2641998149861239
2021-03-22,217.2,153.0,158.53,-0.2701197053406998
2021-03-23,217.2,153.0,159.56,-0.2653775322283609
2021-03-24,218.6,153.0,159.43,-0.2706770356816102
2021-03-25,219.0,153.0,160.25,-0.2682648401826484
2021-03-26,223.6,153.0,161.75,-0.2766100178890876
2021-03-29,222.6,153.0,161.66,-0.2737646001796945
2021-03-30,226.0,153.0,162.22,-0.282212389380531
2021-03-31,226.2,153.0,162.45,-0.2818302387267904
2021-04-01,229.0,153.0,162.84,-0.2889082969432314
2021-04-02,229.0,153.0,162.86,-0.2888209606986899
2021-04-05,229.0,153.0,162.89,-0.2886899563318778
2021-04-06,230.1,153.0,165.45,-0.2809647979139505
2021-04-07,230.0,153.0,165.15,-0.2819565217391304
2021-04-08,233.4,153.0,166.26,-0.2876606683804628
2021-04-09,235.0,153.0,167.42,-0.2875744680851064
2021-04-12,236.6,153.0,167.21,-0.2932797971259509
2021-04-13,242.3,153.0,168.28,-0.3054890631448618
2021-04-14,240.8,153.0,167.26,-0.3053986710963456
2021-04-15,245.8,153.0,167.61,-0.3181041497152156
2021-04-16,249.3,153.0,169.63,-0.3195748094665063
