DATUM,PRIS,SUBSTANSVÄRDE,BERÄKNAT_SUBSTANSVÄRDE,DISCOUNT/PREMIUM
2021-02-22,628.6,713.0,770.07,0.2250556792873051
2021-02-23,627.8,713.0,761.29,0.2126314112774769
2021-02-24,632.4,713.0,766.05,0.2113377609108159
2021-02-25,633.4,713.0,765.58,0.2086832964951059
2021-02-26,624.8,713.0,757.16,0.2118437900128041
2021-03-01,642.6,713.0,770.9,0.1996576408341113
2021-03-02,647.2,713.0,773.12,0.1945611866501853
2021-03-03,645.0,713.0,769.97,0.1937519379844961
2021-03-04,649.6,713.0,765.4,0.1782635467980294
2021-03-05,642.8,713.0,759.98,0.1822962041070318
2021-03-08,662.2,713.0,774.69,0.1698731501057082
2021-03-09,666.0,713.0,781.02,0.1727027027027027
2021-03-10,670.8,713.0,782.86,0.1670542635658915
2021-03-11,683.6,713.0,792.99,0.1600204798127559
2021-03-12,683.2,713.0,790.36,0.1568501170960186
2021-03-15,677.4,713.0,789.3,0.1651904340124003
2021-03-16,685.0,713.0,796.52,0.1628029197080291
2021-03-17,683.6,713.0,792.67,0.1595523698069045
2021-03-18,677.6,713.0,795.86,0.1745277449822904
2021-03-19,673.2,713.0,793.34,0.1784610814022578
2021-03-22,680.0,713.0,800.34,0.1769705882352941
2021-03-23,681.4,713.0,801.7,0.1765482829468742
2021-03-24,684.4,713.0,805.14,0.1764172998246639
2021-03-25,686.2,713.0,805.0,0.1731273681142523
2021-03-26,694.0,713.0,811.57,0.1694092219020173
2021-03-29,685.0,713.0,814.07,0.1884233576642336
2021-03-30,696.6,713.0,820.58,0.1779787539477462
2021-03-31,696.4,713.0,821.91,0.1802268811028144
2021-04-01,703.6,713.0,825.48,0.1732234223990904
2021-04-02,703.6,713.0,825.5,0.1732518476407049
2021-04-05,703.6,713.0,825.5,0.1732518476407049
2021-04-06,709.1,713.0,830.7,0.1714849809617825
2021-04-07,709.6,713.0,826.94,0.1653607666290868
2021-04-08,707.5,713.0,833.51,0.1781060070671378
2021-04-09,714.7,713.0,837.99,0.1725059465510003
2021-04-12,712.8,713.0,833.14,0.1688271604938272
2021-04-13,721.2,713.0,834.68,0.1573488630061008
2021-04-14,715.9,713.0,831.04,0.1608325185081715
2021-04-15,719.3,713.0,835.52,0.1615737522591409
2021-04-16,731.1,713.0,843.97,0.1543838052250034
2021-04-19,727.9,713.0,836.09,0.1486330539909329
2021-04-20,709.5,831.0,833.98,0.1754474982381959
2021-04-21,716.0,831.0,839.94,0.1731005586592179
2021-04-22,712.0,831.0,842.24,0.1829213483146067
2021-04-23,714.1,831.0,843.58,0.181319142977174
2021-04-26,716.0,831.0,843.13,0.1775558659217877
2021-04-27,720.3,831.0,844.18,0.1719838955990559
2021-04-28,720.0,831.0,840.19,0.1669305555555556
2021-04-29,723.4,831.0,837.04,0.1570915123030135
2021-04-30,718.9,831.0,834.35,0.1605925719849771
2021-05-03,724.6,831.0,837.45,0.1557410985371239
2021-05-04,709.7,831.0,825.12,0.1626320980696068
2021-05-05,731.7,831.0,842.16,0.1509635096350962
2021-05-06,725.4,831.0,828.56,0.142211193824097
2021-05-07,726.8,831.0,831.18,0.1436158503026967
2021-05-10,729.8,831.0,832.64,0.1409153192655522
2021-05-11,709.7,831.0,818.15,0.1528110469212342
2021-05-12,711.1,831.0,821.6,0.1553930530164533
2021-05-13,711.1,831.0,822.18,0.156208690760793
2021-05-14,730.0,831.0,830.55,0.1377397260273972
2021-05-17,731.0,831.0,828.19,0.1329548563611491
2021-05-18,745.0,831.0,830.04,0.1141476510067113
2021-05-19,184.46,207.75,204.13,0.1066355849506667
2021-05-20,189.28,207.75,206.85,0.0928254437869822
2021-05-21,188.7,207.75,207.48,0.0995230524642289
2021-05-24,188.75,207.75,208.11,0.1025695364238411
2021-05-25,188.35,207.75,208.12,0.1049641624634988
2021-05-26,188.0,207.75,206.8,0.1
2021-05-27,188.35,207.75,207.2,0.1000796389700026
2021-05-28,190.95,207.75,208.75,0.0932181199266824
2021-05-31,191.6,207.75,207.56,0.0832985386221294
2021-06-01,192.45,207.75,209.69,0.0895817095349442
2021-06-02,192.5,207.75,209.54,0.0885194805194804
2021-06-03,194.2,207.75,209.91,0.0808959835221421
2021-06-04,194.75,207.75,209.66,0.0765596919127085
2021-06-07,194.2,207.75,210.01,0.0814109165808445
2021-06-08,194.9,207.75,210.16,0.0782965623396613
2021-06-09,194.95,207.75,210.66,0.0805847653244422
2021-06-10,194.85,207.75,210.72,0.0814472671285604
2021-06-11,195.9,207.75,211.24,0.0783052577845839
2021-06-14,195.8,207.75,211.64,0.0808988764044942
2021-06-15,195.65,207.75,212.83,0.0878098645540506
2021-06-16,196.5,207.75,213.42,0.0861068702290075
2021-06-17,195.35,207.75,213.28,0.0917839774763245
2021-06-18,194.95,207.75,211.4,0.0843806104129264
2021-06-21,196.5,207.75,212.74,0.08264631043257
2021-06-22,197.2,207.75,213.02,0.0802231237322516
2021-06-23,194.2,207.75,211.36,0.0883625128733266
2021-06-24,197.1,207.75,213.51,0.0832572298325722
2021-06-25,197.1,207.75,213.54,0.0834094368340943
2021-06-28,196.5,207.75,214.34,0.0907888040712468
2021-06-29,198.8,207.75,216.45,0.0887826961770622
2021-06-30,197.25,207.75,214.1,0.085424588086185
2021-07-01,198.65,207.75,215.03,0.082456581928014
2021-07-02,199.9,207.75,216.54,0.0832416208104051
2021-07-05,201.3,207.75,216.68,0.0764033780427222
2021-07-06,200.9,207.75,216.95,0.0798904927824787
2021-07-07,205.9,207.75,220.3,0.0699368625546382
2021-07-08,202.4,207.75,218.12,0.0776679841897233
2021-07-09,205.2,207.75,220.26,0.073391812865497
2021-07-12,208.4,207.75,222.22,0.0663147792706333
2021-07-13,209.3,207.75,222.69,0.063975155279503
2021-07-14,209.2,207.75,222.51,0.063623326959847
2021-07-15,209.1,215.0,223.25,0.0676709708273553
2021-07-16,211.3,215.0,223.02,0.0554661618551821
2021-07-19,203.3,215.0,220.16,0.0829316281357598
2021-07-20,205.6,215.0,222.25,0.0809824902723735
2021-07-21,210.5,215.0,225.03,0.0690261282660332
2021-07-22,213.7,215.0,229.18,0.0724379971923257
2021-07-23,216.2,215.0,231.16,0.0691951896392229
2021-07-26,215.1,215.0,230.38,0.0710367271036727
2021-07-27,213.6,215.0,229.18,0.0729400749063671
2021-07-28,213.5,215.0,229.13,0.0732084309133489
2021-07-29,214.9,215.0,229.21,0.0665891112145184
2021-07-30,213.3,215.0,228.73,0.0723394280356304
2021-08-02,214.6,215.0,229.65,0.0701304753028891
2021-08-03,214.3,215.0,230.97,0.0777881474568361
2021-08-04,218.0,215.0,232.99,0.0687614678899082
2021-08-05,218.5,215.0,233.18,0.0671853546910755
2021-08-06,215.5,215.0,232.34,0.0781438515081206
2021-08-09,216.2,215.0,232.64,0.0760407030527289
