DATUM,PRIS,SUBSTANSVÄRDE,BERÄKNAT_SUBSTANSVÄRDE,DISCOUNT/PREMIUM
2021-02-22,276.6,297.0,301.3,0.0892986261749818
2021-02-23,275.2,297.0,298.51,0.0847020348837209
2021-02-24,279.1,297.0,305.29,0.0938373342887853
2021-02-25,279.5,297.0,304.22,0.088443649373882
2021-02-26,278.9,297.0,299.39,0.0734671925421298
2021-03-01,289.9,299.0,306.02,0.0556053811659193
2021-03-02,292.0,299.0,307.11,0.0517465753424658
2021-03-03,292.5,299.0,309.02,0.0564786324786324
2021-03-04,293.4,299.0,308.65,0.051976823449216
2021-03-05,292.6,299.0,308.06,0.0528366370471632
2021-03-08,298.1,299.0,319.47,0.0716873532371687
2021-03-09,299.8,299.0,319.89,0.0670113408939292
2021-03-10,303.2,299.0,321.17,0.0592678100263853
2021-03-11,311.9,299.0,323.6,0.037512023084322
2021-03-12,311.2,299.0,324.87,0.043926735218509
2021-03-15,307.8,299.0,322.17,0.0466861598440545
2021-03-16,311.7,299.0,323.25,0.0370548604427334
2021-03-17,311.1,299.0,323.31,0.0392478302796527
2021-03-18,310.8,299.0,327.41,0.0534427284427284
2021-03-19,305.1,299.0,323.36,0.0598492297607341
2021-03-22,308.3,299.0,323.68,0.0498864742134284
2021-03-23,304.1,299.0,315.66,0.0380138112463005
2021-03-24,309.2,299.0,320.83,0.0376131953428201
2021-03-25,305.7,299.0,317.69,0.0392214589466797
2021-03-26,309.7,299.0,322.11,0.0400710364869229
2021-03-29,305.8,299.0,318.61,0.0418901242642249
2021-03-30,309.4,299.0,323.38,0.0451842275371687
2021-03-31,306.4,299.0,320.74,0.0468015665796345
2021-04-01,311.4,299.0,325.52,0.0453436095054592
2021-04-02,311.4,299.0,325.52,0.0453436095054592
2021-04-05,311.4,299.0,325.52,0.0453436095054592
2021-04-06,312.5,299.0,327.5,0.048
2021-04-07,312.4,299.0,326.57,0.0453585147247119
2021-04-08,312.5,299.0,327.24,0.047168
2021-04-09,314.1,321.0,328.95,0.0472779369627506
2021-04-12,312.1,321.0,325.64,0.0433835309195769
2021-04-13,319.2,321.0,326.16,0.0218045112781956
2021-04-14,317.1,321.0,321.62,0.014254178492589
2021-04-15,319.4,321.0,325.28,0.0184095178459611
2021-04-16,326.8,321.0,331.8,0.0152998776009791
2021-04-19,329.4,321.0,327.77,-0.0049483910139647
2021-04-20,321.8,321.0,317.55,-0.0132069608452454
2021-04-21,327.2,321.0,320.24,-0.0212713936430317
2021-04-22,308.4,321.0,313.27,0.0157911802853437
2021-04-23,307.4,321.0,314.09,0.0217631750162654
2021-04-26,306.6,321.0,314.21,0.0248206131767774
2021-04-27,309.0,321.0,313.29,0.0138834951456311
2021-04-28,307.5,321.0,312.04,0.0147642276422764
2021-04-29,308.9,321.0,309.73,0.0026869537067013
2021-04-30,305.6,321.0,307.53,0.0063154450261778
2021-05-03,307.4,308.0,312.31,0.0159726740403384
2021-05-04,299.0,308.0,309.78,0.0360535117056855
2021-05-05,307.7,308.0,318.69,0.0357166070848229
2021-05-06,306.9,308.0,320.57,0.0445421961550994
2021-05-07,309.0,308.0,321.56,0.0406472491909385
2021-05-10,311.4,308.0,325.6,0.0456005138086064
